,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
0,2017-00056327,9/1/2017,0:15,7300 block of Baltimore Ave,9/1/2017,1:49,Assist Other Agency,CBE
2,2017-00056328,9/1/2017,1:51,3800 block of Stadium Dr,9/1/2017,1:51,Injured/Sick Person,CBE
4,2017-00056338,9/1/2017,3:37,7000 block of Preinkert Dr,9/1/2017,3:37,Injured/Sick Person,CBE
6,2017-00056344,9/1/2017,1:00,Knox Rd,9/1/2017,4:27,Other Incident,CBE
8,2017-00056396,9/1/2017,{NO TIME},"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr",9/1/2017,9:59,Suspicious Activity,CBE
10,2017-00056535,9/1/2017,21:41,"Kehoe Track, Kehoe Track at Ludwig Field, Ludwig Field at 7898 Championship Ln",9/1/2017,21:41,Injured/Sick Person,CBE
12,2017-00056569,9/1/2017,23:27,Annapolis Hall at 7626 Regents Dr,9/1/2017,23:27,Injured/Sick Person,CBE
14,2017-00056570,9/1/2017,18:30,Riggs Alumni Center at 7801 Alumni Dr,9/1/2017,23:28,Theft,CBE
16,2017-00056589,9/2/2017,1:00,Hagerstown Hall at 4000 Stadium Dr,9/2/2017,1:00,Injured/Sick Person,CBE
18,2017-00056599,9/2/2017,2:04,4200 block of Lehigh Rd,9/2/2017,2:04,Injured/Sick Person,CBE
20,2017-00056611,9/2/2017,3:41,3800 block of Stadium Dr,9/2/2017,3:41,Suspicious Activity,Suspended
22,2017-00056612,9/2/2017,3:47,University Blvd,9/2/2017,3:47,DWI/DUI,Arrest
24,2017-00056730,9/2/2017,20:02,Baltimore Ave,9/2/2017,20:02,DWI/DUI,Arrest
26,2017-00056745,9/2/2017,22:50,4200 block of Valley Dr,9/2/2017,22:55,CDS Violation,Arrest
28,2017-00056753,9/3/2017,0:05,7500 block of Preinkert Dr,9/3/2017,0:05,CDS Violation,CBE
30,2017-00056765,9/3/2017,1:57,3900 block of Denton Service Ln,9/3/2017,1:57,Injured/Sick Person,CBE
32,2017-00056769,9/3/2017,0:52,4600 block of Harvard Rd,9/3/2017,2:03,Injured/Sick Person,CBE
34,2017-00056775,9/3/2017,3:21,3800 block of Stadium Dr,9/3/2017,3:21,Injured/Sick Person,CBE
36,2017-00056938,9/3/2017,7:30,3900 block of Denton Service Ln,9/3/2017,22:20,Rape (Title IX Related),CBE
38,2017-00056951,9/3/2017,22:45,Oakland Hall at 3912 Denton Service Ln,9/3/2017,22:47,Suspicious Activity,CBE
40,2017-00056958,9/3/2017,23:27,4200 block of Farm Dr,9/3/2017,23:27,Injured/Sick Person,CBE
42,2017-00056976,9/2/2017,19:30,Dorchester Hall at 3947 Campus Dr,9/4/2017,1:17,Theft,Active/Pending
44,2017-00057075,9/4/2017,11:37,University Blvd,9/4/2017,11:37,Warrant/Summons Service,Arrest
46,2017-00057124,8/25/2017,16:00,7000 block of Preinkert Dr,9/4/2017,15:21,Theft,Unfounded
48,2017-00057142,9/4/2017,16:33,7400 block of Dickinson Ave,9/4/2017,16:33,Injured/Sick Person,CBE
50,2017-00057145,9/4/2017,17:18,Rhode Island Ave,9/4/2017,17:18,Injured/Sick Person,CBE
52,2017-00057151,9/4/2017,18:24,Lefrak Hall at 7251 Preinkert Dr,9/4/2017,18:24,Injured/Sick Person,CBE
54,2017-00057152,9/4/2017,18:35,4600 block of Harvard Rd,9/4/2017,18:35,Assist Other Agency,CBE
56,2017-00057229,9/5/2017,1:45,Baltimore Ave,9/5/2017,1:45,CDS Violation,Arrest
58,2017-00057312,8/29/2017,8:00,Van Munching Hall at 7699 Mowatt Ln,9/5/2017,12:18,Theft,Suspended
60,2017-00057317,9/5/2017,12:40,5300 block of Campus Dr,9/5/2017,13:12,Assist Other Agency,CBE
